Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1	Node0	combined	Drop	0	0	0	0
1	Node1	combined	Drop	0	0	0	0
1	Node2	combined	Drop	0	0	0	0
1	Node3	combined	Drop	0	0	0	0
1	Node4	combined	Drop	0	0	0	0
1	Node5	combined	Drop	0	0	0	0
1	Node6	combined	Drop	0	0	0	0
1	Node7	combined	Drop	0	0	0	0
1	Node8	combined	Drop	0	0	0	0
1	Node9	combined	Drop	0	0	0	0
1	Node10	combined	Drop	0	0	0	0
1	Node11	combined	Drop	0	0	0	0
1	Node12	combined	Drop	0	0	0	0
1	Node13	combined	Drop	0	0	0	0
1	Node14	combined	Drop	0	0	0	0
2	Node0	combined	Drop	0	0	0	0
2	Node1	combined	Drop	0	0	0	0
2	Node2	combined	Drop	0	0	0	0
2	Node3	combined	Drop	0	0	0	0
2	Node4	combined	Drop	0	0	0	0
2	Node5	combined	Drop	0	0	0	0
2	Node6	combined	Drop	0	0	0	0
2	Node7	combined	Drop	0	0	0	0
2	Node8	combined	Drop	0	0	0	0
2	Node9	combined	Drop	0	0	0	0
2	Node10	combined	Drop	0	0	0	0
2	Node11	combined	Drop	0	0	0	0
2	Node12	combined	Drop	0	0	0	0
2	Node13	combined	Drop	0	0	0	0
2	Node14	combined	Drop	0	0	0	0
3	Node0	combined	Drop	0	0	0	0
3	Node1	combined	Drop	0	0	0	0
3	Node2	combined	Drop	0	0	0	0
3	Node3	combined	Drop	0	0	0	0
3	Node4	combined	Drop	0	0	0	0
3	Node5	combined	Drop	0	0	0	0
3	Node6	combined	Drop	0	0	0	0
3	Node7	combined	Drop	0	0	0	0
3	Node8	combined	Drop	0	0	0	0
3	Node9	combined	Drop	0	0	0	0
3	Node10	combined	Drop	0	0	0	0
3	Node11	combined	Drop	0	0	0	0
3	Node12	combined	Drop	0	0	0	0
3	Node13	combined	Drop	0	0	0	0
3	Node14	combined	Drop	0	0	0	0
4	Node0	combined	Drop	0	0	0	0
4	Node1	combined	Drop	0	0	0	0
4	Node2	combined	Drop	0	0	0	0
4	Node3	combined	Drop	0	0	0	0
4	Node4	combined	Drop	0	0	0	0
4	Node5	combined	Drop	0	0	0	0
4	Node6	combined	Drop	0	0	0	0
4	Node7	combined	Drop	0	0	0	0
4	Node8	combined	Drop	0	0	0	0
4	Node9	combined	Drop	0	0	0	0
4	Node10	combined	Drop	0	0	0	0
4	Node11	combined	Drop	0	0	0	0
4	Node12	combined	Drop	0	0	0	0
4	Node13	combined	Drop	0	0	0	0
4	Node14	combined	Drop	0	0	0	0
5	Node0	combined	Drop	0	0	0	0
5	Node1	combined	Drop	0	0	0	0
5	Node2	combined	Drop	0	0	0	0
5	Node3	combined	Drop	0	0	0	0
5	Node4	combined	Drop	0	0	0	0
5	Node5	combined	Drop	0	0	0	0
5	Node6	combined	Drop	0	0	0	0
5	Node7	combined	Drop	0	0	0	0
5	Node8	combined	Drop	0	0	0	0
5	Node9	combined	Drop	0	0	0	0
5	Node10	combined	Drop	0	0	0	0
5	Node11	combined	Drop	0	0	0	0
5	Node12	combined	Drop	0	0	0	0
5	Node13	combined	Drop	0	0	0	0
5	Node14	combined	Drop	0	0	0	0
6	Node0	combined	Drop	0	0	0	0
6	Node1	combined	Drop	0	0	0	0
6	Node2	combined	Drop	0	0	0	0
6	Node3	combined	Drop	0	0	0	0
6	Node4	combined	Drop	0	0	0	0
6	Node5	combined	Drop	0	0	0	0
6	Node6	combined	Drop	0	0	0	0
6	Node7	combined	Drop	0	0	0	0
6	Node8	combined	Drop	0	0	0	0
6	Node9	combined	Drop	0	0	0	0
6	Node10	combined	Drop	0	0	0	0
6	Node11	combined	Drop	0	0	0	0
6	Node12	combined	Drop	0	0	0	0
6	Node13	combined	Drop	0	0	0	0
6	Node14	combined	Drop	0	0	0	0
7	Node0	combined	Drop	0	0	0	0
7	Node1	combined	Drop	0	0	0	0
7	Node2	combined	Drop	0	0	0	0
7	Node3	combined	Drop	0	0	0	0
7	Node4	combined	Drop	0	0	0	0
7	Node5	combined	Drop	0	0	0	0
7	Node6	combined	Drop	0	0	0	0
7	Node7	combined	Drop	0	0	0	0
7	Node8	combined	Drop	0	0	0	0
7	Node9	combined	Drop	0	0	0	0
7	Node10	combined	Drop	0	0	0	0
7	Node11	combined	Drop	0	0	0	0
7	Node12	combined	Drop	0	0	0	0
7	Node13	combined	Drop	0	0	0	0
7	Node14	combined	Drop	0	0	0	0
8	Node0	combined	Drop	0	0	0	0
8	Node1	combined	Drop	0	0	0	0
8	Node2	combined	Drop	0	0	0	0
8	Node3	combined	Drop	0	0	0	0
8	Node4	combined	Drop	0	0	0	0
8	Node5	combined	Drop	0	0	0	0
8	Node6	combined	Drop	0	0	0	0
8	Node7	combined	Drop	0	0	0	0
8	Node8	combined	Drop	0	0	0	0
8	Node9	combined	Drop	0	0	0	0
8	Node10	combined	Drop	0	0	0	0
8	Node11	combined	Drop	0	0	0	0
8	Node12	combined	Drop	0	0	0	0
8	Node13	combined	Drop	0	0	0	0
8	Node14	combined	Drop	0	0	0	0
9	Node0	combined	Drop	0	0	0	0
9	Node1	combined	Drop	0	0	0	0
9	Node2	combined	Drop	0	0	0	0
9	Node3	combined	Drop	0	0	0	0
9	Node4	combined	Drop	0	0	0	0
9	Node5	combined	Drop	0	0	0	0
9	Node6	combined	Drop	0	0	0	0
9	Node7	combined	Drop	0	0	0	0
9	Node8	combined	Drop	0	0	0	0
9	Node9	combined	Drop	0	0	0	0
9	Node10	combined	Drop	0	0	0	0
9	Node11	combined	Drop	0	0	0	0
9	Node12	combined	Drop	0	0	0	0
9	Node13	combined	Drop	0	0	0	0
9	Node14	combined	Drop	0	0	0	0
10	Node0	combined	Drop	0	0	0	0
10	Node1	combined	Drop	0	0	0	0
10	Node2	combined	Drop	0	0	0	0
10	Node3	combined	Drop	0	0	0	0
10	Node4	combined	Drop	0	0	0	0
10	Node5	combined	Drop	0	0	0	0
10	Node6	combined	Drop	0	0	0	0
10	Node7	combined	Drop	0	0	0	0
10	Node8	combined	Drop	0	0	0	0
10	Node9	combined	Drop	0	0	0	0
10	Node10	combined	Drop	0	0	0	0
10	Node11	combined	Drop	0	0	0	0
10	Node12	combined	Drop	0	0	0	0
10	Node13	combined	Drop	0	0	0	0
10	Node14	combined	Drop	0	0	0	0
11	Node0	combined	Drop	0	0	0	0
11	Node1	combined	Drop	0	0	0	0
11	Node2	combined	Drop	0	0	0	0
11	Node3	combined	Drop	0	0	0	0
11	Node4	combined	Drop	0	0	0	0
11	Node5	combined	Drop	0	0	0	0
11	Node6	combined	Drop	0	0	0	0
11	Node7	combined	Drop	0	0	0	0
11	Node8	combined	Drop	0	0	0	0
11	Node9	combined	Drop	0	0	0	0
11	Node10	combined	Drop	0	0	0	0
11	Node11	combined	Drop	0	0	0	0
11	Node12	combined	Drop	0	0	0	0
11	Node13	combined	Drop	0	0	0	0
11	Node14	combined	Drop	0	0	0	0
12	Node0	combined	Drop	0	0	0	0
12	Node1	combined	Drop	0	0	0	0
12	Node2	combined	Drop	0	0	0	0
12	Node3	combined	Drop	0	0	0	0
12	Node4	combined	Drop	0	0	0	0
12	Node5	combined	Drop	0	0	0	0
12	Node6	combined	Drop	0	0	0	0
12	Node7	combined	Drop	0	0	0	0
12	Node8	combined	Drop	0	0	0	0
12	Node9	combined	Drop	0	0	0	0
12	Node10	combined	Drop	0	0	0	0
12	Node11	combined	Drop	0	0	0	0
12	Node12	combined	Drop	0	0	0	0
12	Node13	combined	Drop	0	0	0	0
12	Node14	combined	Drop	0	0	0	0
13	Node0	combined	Drop	0	0	0	0
13	Node1	combined	Drop	0	0	0	0
13	Node2	combined	Drop	0	0	0	0
13	Node3	combined	Drop	0	0	0	0
13	Node4	combined	Drop	0	0	0	0
13	Node5	combined	Drop	0	0	0	0
13	Node6	combined	Drop	0	0	0	0
13	Node7	combined	Drop	0	0	0	0
13	Node8	combined	Drop	0	0	0	0
13	Node9	combined	Drop	0	0	0	0
13	Node10	combined	Drop	0	0	0	0
13	Node11	combined	Drop	0	0	0	0
13	Node12	combined	Drop	0	0	0	0
13	Node13	combined	Drop	0	0	0	0
13	Node14	combined	Drop	0	0	0	0
14	Node0	combined	Drop	0	0	0	0
14	Node1	combined	Drop	0	0	0	0
14	Node2	combined	Drop	0	0	0	0
14	Node3	combined	Drop	0	0	0	0
14	Node4	combined	Drop	0	0	0	0
14	Node5	combined	Drop	0	0	0	0
14	Node6	combined	Drop	0	0	0	0
14	Node7	combined	Drop	0	0	0	0
14	Node8	combined	Drop	0	0	0	0
14	Node9	combined	Drop	0	0	0	0
14	Node10	combined	Drop	0	0	0	0
14	Node11	combined	Drop	0	0	0	0
14	Node12	combined	Drop	0	0	0	0
14	Node13	combined	Drop	0	0	0	0
14	Node14	combined	Drop	0	0	0	0
15	Node0	combined	Drop	0	0	0	0
15	Node1	combined	Drop	0	0	0	0
15	Node2	combined	Drop	0	0	0	0
15	Node3	combined	Drop	0	0	0	0
15	Node4	combined	Drop	0	0	0	0
15	Node5	combined	Drop	0	0	0	0
15	Node6	combined	Drop	0	0	0	0
15	Node7	combined	Drop	0	0	0	0
15	Node8	combined	Drop	0	0	0	0
15	Node9	combined	Drop	0	0	0	0
15	Node10	combined	Drop	0	0	0	0
15	Node11	combined	Drop	0	0	0	0
15	Node12	combined	Drop	0	0	0	0
15	Node13	combined	Drop	0	0	0	0
15	Node14	combined	Drop	0	0	0	0
16	Node0	combined	Drop	0	0	0	0
